MN996528	5718	5738	5738|21987|DL|1|1	0	+	0
MN996528	21967	21987	5738|21987|AL|1|1	0	-	0
MN996528	5738	5758	5738|21987|DR|1|1	0	+	0
MN996528	21987	22007	5738|21987|AR|1|1	0	-	0
MN996528	15106	15126	15126|25201|DL|2|1	0	+	0
MN996528	25181	25201	15126|25201|AL|2|1	0	-	0
MN996528	15126	15146	15126|25201|DR|2|1	0	+	0
MN996528	25201	25221	15126|25201|AR|2|1	0	-	0
MN996528	14499	14519	14519|15557|DL|3|1	0	+	0
MN996528	15537	15557	14519|15557|AL|3|1	0	-	0
MN996528	14519	14539	14519|15557|DR|3|1	0	+	0
MN996528	15557	15577	14519|15557|AR|3|1	0	-	0
MN996528	12079	12099	12099|13760|DL|4|1	0	+	0
MN996528	13740	13760	12099|13760|AL|4|1	0	-	0
MN996528	12099	12119	12099|13760|DR|4|1	0	+	0
MN996528	13760	13780	12099|13760|AR|4|1	0	-	0
MN996528	5191	5211	5211|17812|DL|5|1	0	+	0
MN996528	17792	17812	5211|17812|AL|5|1	0	-	0
MN996528	5211	5231	5211|17812|DR|5|1	0	+	0
MN996528	17812	17832	5211|17812|AR|5|1	0	-	0
MN996528	3003	3023	3023|20253|DL|6|1	0	+	0
MN996528	20233	20253	3023|20253|AL|6|1	0	-	0
MN996528	3023	3043	3023|20253|DR|6|1	0	+	0
MN996528	20253	20273	3023|20253|AR|6|1	0	-	0
MN996528	15001	15021	15021|26133|DL|7|1	0	+	0
MN996528	26113	26133	15021|26133|AL|7|1	0	-	0
MN996528	15021	15041	15021|26133|DR|7|1	0	+	0
MN996528	26133	26153	15021|26133|AR|7|1	0	-	0
MN996528	6867	6887	6887|7886|DL|8|1	0	+	0
MN996528	7866	7886	6887|7886|AL|8|1	0	-	0
MN996528	6887	6907	6887|7886|DR|8|1	0	+	0
MN996528	7886	7906	6887|7886|AR|8|1	0	-	0
MN996528	13426	13446	13446|21982|DL|9|1	0	+	0
MN996528	21962	21982	13446|21982|AL|9|1	0	-	0
MN996528	13446	13466	13446|21982|DR|9|1	0	+	0
MN996528	21982	22002	13446|21982|AR|9|1	0	-	0
MN996528	6727	6747	6747|19829|DL|10|1	0	+	0
MN996528	19809	19829	6747|19829|AL|10|1	0	-	0
MN996528	6747	6767	6747|19829|DR|10|1	0	+	0
MN996528	19829	19849	6747|19829|AR|10|1	0	-	0
MN996528	4879	4899	4899|15469|DL|11|1	0	+	0
MN996528	15449	15469	4899|15469|AL|11|1	0	-	0
MN996528	4899	4919	4899|15469|DR|11|1	0	+	0
